id,Longitude,Latitude,Elevation
[unnamed],-1.64134143,6.65716909,0
[unnamed],-1.64138895,6.65492936,0
[unnamed],-1.64482813,6.65125063,0
[unnamed],-1.63566252,6.64192794,0
[unnamed],-1.63524485,6.64722907,0
[unnamed],-1.63380048,6.64957668,0
[unnamed],-1.63331458,6.66005598,0
[unnamed],-1.61587344,6.66315217,0
[unnamed],-1.61781033,6.65879191,0
[unnamed],-1.61775492,6.65866727,0
[unnamed],-1.62031819,6.64245273,0
[unnamed],-1.62026245,6.64247754,0
[unnamed],-1.62420094,6.63992567,0
[unnamed],-1.62020177,6.63629765,0
[unnamed],-1.61818542,6.62659224,0
OFORIKROM SUBMETRO,-1.59652123,6.69161493,0
[unnamed],-1.59652811,6.69138611,0
[unnamed],-1.59328305,6.68781677,0
[unnamed],-1.59312975,6.68767864,0
[unnamed],-1.59209752,6.68698,0
[unnamed],-1.59209316,6.6869215,0
[unnamed],-1.59333955,6.68470063,0
[unnamed],-1.59317686,6.68074228,0
[unnamed],-1.59312958,6.68083951,0
[unnamed],-1.59310184,6.68072744,0
[unnamed],-1.5909492,6.67921048,0
[unnamed],-1.59096638,6.67924208,0
[unnamed],-1.59254913,6.67781087,0
[unnamed],-1.59238736,6.67787826,0
[unnamed],-1.58475095,6.68575214,0
[unnamed],-1.58486863,6.68556405,0
[unnamed],-1.58477567,6.68553354,0
[unnamed],-1.58150104,6.68213836,0
[unnamed],-1.57637039,6.69183622,0
[unnamed],-1.57410502,6.6938099,0
[unnamed],-1.57405422,6.69371301,0
[unnamed],-1.57329608,6.69577739,0
[unnamed],-1.57272376,6.69511849,0
[unnamed],-1.57161459,6.6908231,0
[unnamed],-1.57176085,6.69079569,0
[unnamed],-1.5718015,6.69090499,0
[unnamed],-1.57060599,6.68739709,0
[unnamed],-1.57039904,6.68731302,0
[unnamed],-1.57034288,6.68721327,0
[unnamed],-1.56000154,6.67498349,0
[unnamed],-1.56019332,6.67503805,0
[unnamed],-1.55732403,6.67473681,0
[unnamed],-1.5572667,6.67485365,0
[unnamed],-1.56052768,6.66306099,0
[unnamed],-1.56003742,6.66279117,0
[unnamed],-1.55772921,6.66306032,0
[unnamed],-1.54664063,6.65786563,0
[unnamed],-1.5462445,6.66018784,0
[unnamed],-1.54621684,6.66013017,0
[unnamed],-1.53587064,6.66258406,0
[unnamed],-1.52439908,6.66693569,0
[unnamed],-1.54284187,6.67806417,0
[unnamed],-1.55229556,6.69255849,0
[unnamed],-1.55228852,6.69237727,0
[unnamed],-1.55400932,6.69392717,0
[unnamed],-1.55387555,6.69399238,0
[unnamed],-1.5317915,6.69151351,0
[unnamed],-1.53193207,6.69161158,0
[unnamed],-1.53197389,6.69169557,0
[unnamed],-1.52997062,6.69409003,0
[unnamed],-1.52834776,6.6975054,0
[unnamed],-1.53767774,6.7106805,0
SUBIN SUBMETRO,-1.6238925,6.70014327,0
[unnamed],-1.62403264,6.70038576,0
[unnamed],-1.62399291,6.70028895,0
[unnamed],-1.62381899,6.7001027,0
[unnamed],-1.62092782,6.69728504,0
[unnamed],-1.62075901,6.69471548,0
[unnamed],-1.62133032,6.69366389,0
[unnamed],-1.62032625,6.69292067,0
[unnamed],-1.61959468,6.69322317,0
[unnamed],-1.6185456,6.6964994,0
[unnamed],-1.61864249,6.69649161,0
[unnamed],-1.6187274,6.69648591,0
[unnamed],-1.61858726,6.69625868,0
[unnamed],-1.61663821,6.6971138,0
[unnamed],-1.61423059,6.69640444,0
[unnamed],-1.61408609,6.69633856,0
[unnamed],-1.61741303,6.69481716,0
[unnamed],-1.61619347,6.69467886,0
[unnamed],-1.61712897,6.69289762,0
[unnamed],-1.61720894,6.69282771,0
[unnamed],-1.61352116,6.69391216,0
[unnamed],-1.61315705,6.6941772,0
[unnamed],-1.61230377,6.69176564,0
[unnamed],-1.61290593,6.69046569,0
[unnamed],-1.61306502,6.69060433,0
[unnamed],-1.61800865,6.68936012,0
[unnamed],-1.61717616,6.68875034,0
[unnamed],-1.61492244,6.68628615,0
[unnamed],-1.61312117,6.68681128,0
[unnamed],-1.61010671,6.68725334,0
[unnamed],-1.6099876,6.68745316,0
[unnamed],-1.61014317,6.68739432,0
[unnamed],-1.61006974,6.68742399,0
[unnamed],-1.60965056,6.68537269,0
[unnamed],-1.6120208,6.68426251,0
[unnamed],-1.60929442,6.68305233,0
[unnamed],-1.60968803,6.68118895,0
[unnamed],-1.60972139,6.68130755,0
[unnamed],-1.60611667,6.68660827,0
[unnamed],-1.60511101,6.68775181,0
[unnamed],-1.60527228,6.68755425,0
[unnamed],-1.60521855,6.68911906,0
[unnamed],-1.60391868,6.69016294,0
[unnamed],-1.6022304,6.6859611,0
[unnamed],-1.60225194,6.68580947,0
[unnamed],-1.60127729,6.68661464,0
[unnamed],-1.60131158,6.68691479,0
[unnamed],-1.5981148,6.68514143,0
[unnamed],-1.59815612,6.68505326,0
[unnamed],-1.62041912,6.68732157,0
[unnamed],-1.62023061,6.68852688,0
[unnamed],-1.62154313,6.69026159,0
[unnamed],-1.62343501,6.69324069,0
[unnamed],-1.62345178,6.69307188,0
[unnamed],-1.62336293,6.69317741,0
[unnamed],-1.62725171,6.6964471,0
[unnamed],-1.63288191,6.6952816,0
TAFO SUBMETRO,-1.62589802,6.72052194,0
[unnamed],-1.62283285,6.72451634,0
[unnamed],-1.61445396,6.72207544,0
[unnamed],-1.62086201,6.72741891,0
[unnamed],-1.61743314,6.73016893,0
[unnamed],-1.61738754,6.73022861,0
[unnamed],-1.61718344,6.73027127,0
[unnamed],-1.61806203,6.73061686,0
[unnamed],-1.61264464,6.73097351,0
[unnamed],-1.6123154,6.73138849,0
[unnamed],-1.61227961,6.73125111,0
[unnamed],-1.61241733,6.73142672,0
[unnamed],-1.61231046,6.73116621,0
[unnamed],-1.6160197,6.73340241,0
[unnamed],-1.61608684,6.73356578,0
[unnamed],-1.61596195,6.73339697,0
[unnamed],-1.61082434,6.73463724,0
[unnamed],-1.6108225,6.73451427,0
[unnamed],-1.61087606,6.7343898,0
[unnamed],-1.61074731,6.73450304,0
[unnamed],-1.60803501,6.73585119,0
[unnamed],-1.61467013,6.73644471,0
[unnamed],-1.61484967,6.73683111,0
[unnamed],-1.61075,6.74183176,0
[unnamed],-1.60972824,6.74120722,0
[unnamed],-1.60605823,6.74880106,0
[unnamed],-1.60610818,6.74887809,0
[unnamed],-1.60622151,6.74875588,0
[unnamed],-1.60622427,6.7485931,0
[unnamed],-1.60421739,6.75104305,0
[unnamed],-1.60394817,6.75123944,0
[unnamed],-1.60306924,6.75360716,0
[unnamed],-1.60333687,6.75354572,0
SUAME SUBMETRO,-1.62994363,6.71272501,0
[unnamed],-1.62991312,6.71267573,0
[unnamed],-1.63193584,6.71369337,0
[unnamed],-1.6320428,6.71381458,0
[unnamed],-1.63179696,6.71374652,0
[unnamed],-1.63392638,6.71256525,0
[unnamed],-1.63768482,6.71365943,0
[unnamed],-1.63683968,6.7151385,0
[unnamed],-1.63661613,6.71693801,0
[unnamed],-1.63758474,6.71691085,0
[unnamed],-1.63060513,6.71898403,0
[unnamed],-1.62834805,6.71946339,0
[unnamed],-1.63164097,6.72288924,0
[unnamed],-1.6303541,6.72507591,0
[unnamed],-1.63356671,6.72307549,0
[unnamed],-1.6319376,6.72809742,0
[unnamed],-1.63476155,6.72852716,0
[unnamed],-1.63797517,6.72709595,0
[unnamed],-1.64426571,6.72851132,0
[unnamed],-1.64434793,6.72843002,0
[unnamed],-1.63423793,6.7308026,0
[unnamed],-1.63758776,6.73796158,0
[unnamed],-1.6376404,6.73775891,0
[unnamed],-1.63473557,6.73793719,0
[unnamed],-1.63382546,6.73846911,0
[unnamed],-1.63358993,6.73852686,0
[unnamed],-1.64391451,6.75065497,0
[unnamed],-1.64592759,6.75243931,0
[unnamed],-1.64573648,6.75235985,0
[unnamed],-1.64192062,6.7530558,0
[unnamed],-1.63519087,6.75941464,0
